"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency"
"19.03.2024 22:00 - 19.03.2024 23:00","45.93","EUR"
"19.03.2024 23:00 - 20.03.2024 00:00","42.57","EUR"
"20.03.2024 00:00 - 20.03.2024 01:00","46.05","EUR"
"20.03.2024 01:00 - 20.03.2024 02:00","45.94","EUR"
"20.03.2024 02:00 - 20.03.2024 03:00","46.62","EUR"
"20.03.2024 03:00 - 20.03.2024 04:00","47.75","EUR"
"20.03.2024 04:00 - 20.03.2024 05:00","50.15","EUR"
"20.03.2024 05:00 - 20.03.2024 06:00","50.18","EUR"
"20.03.2024 06:00 - 20.03.2024 07:00","59.73","EUR"
"20.03.2024 07:00 - 20.03.2024 08:00","111.95","EUR"
"20.03.2024 08:00 - 20.03.2024 09:00","95.97","EUR"
"20.03.2024 09:00 - 20.03.2024 10:00","68.92","EUR"
"20.03.2024 10:00 - 20.03.2024 11:00","65.21","EUR"
"20.03.2024 11:00 - 20.03.2024 12:00","63.82","EUR"
"20.03.2024 12:00 - 20.03.2024 13:00","59.96","EUR"
"20.03.2024 13:00 - 20.03.2024 14:00","61.97","EUR"
"20.03.2024 14:00 - 20.03.2024 15:00","62.81","EUR"
"20.03.2024 15:00 - 20.03.2024 16:00","68.13","EUR"
"20.03.2024 16:00 - 20.03.2024 17:00","73.52","EUR"
"20.03.2024 17:00 - 20.03.2024 18:00","74.01","EUR"
"20.03.2024 18:00 - 20.03.2024 19:00","69.97","EUR"
"20.03.2024 19:00 - 20.03.2024 20:00","87.21","EUR"
"20.03.2024 20:00 - 20.03.2024 21:00","65.02","EUR"
"20.03.2024 21:00 - 20.03.2024 22:00","61.19","EUR"
"20.03.2024 22:00 - 20.03.2024 23:00","59.31","EUR"
"20.03.2024 23:00 - 21.03.2024 00:00","58.09","EUR"
"21.03.2024 00:00 - 21.03.2024 01:00","59.41","EUR"
"21.03.2024 01:00 - 21.03.2024 02:00","58.83","EUR"
"21.03.2024 02:00 - 21.03.2024 03:00","58.02","EUR"
"21.03.2024 03:00 - 21.03.2024 04:00","58.55","EUR"
"21.03.2024 04:00 - 21.03.2024 05:00","59.03","EUR"
"21.03.2024 05:00 - 21.03.2024 06:00","61.01","EUR"
"21.03.2024 06:00 - 21.03.2024 07:00","81.0","EUR"
"21.03.2024 07:00 - 21.03.2024 08:00","98.21","EUR"
"21.03.2024 08:00 - 21.03.2024 09:00","102.29","EUR"
"21.03.2024 09:00 - 21.03.2024 10:00","80.0","EUR"
"21.03.2024 10:00 - 21.03.2024 11:00","72.41","EUR"
"21.03.2024 11:00 - 21.03.2024 12:00","129.05","EUR"
"21.03.2024 12:00 - 21.03.2024 13:00","129.08","EUR"
"21.03.2024 13:00 - 21.03.2024 14:00","133.05","EUR"
"21.03.2024 14:00 - 21.03.2024 15:00","65.24","EUR"
"21.03.2024 15:00 - 21.03.2024 16:00","65.01","EUR"
"21.03.2024 16:00 - 21.03.2024 17:00","75.27","EUR"
"21.03.2024 17:00 - 21.03.2024 18:00","100.9","EUR"
"21.03.2024 18:00 - 21.03.2024 19:00","127.13","EUR"
"21.03.2024 19:00 - 21.03.2024 20:00","120.69","EUR"
"21.03.2024 20:00 - 21.03.2024 21:00","81.91","EUR"
"21.03.2024 21:00 - 21.03.2024 22:00","66.46","EUR"
"21.03.2024 22:00 - 21.03.2024 23:00","59.52","EUR"
"21.03.2024 23:00 - 22.03.2024 00:00","41.02","EUR"
"22.03.2024 00:00 - 22.03.2024 01:00","37.68","EUR"
"22.03.2024 01:00 - 22.03.2024 02:00","34.26","EUR"
"22.03.2024 02:00 - 22.03.2024 03:00","32.24","EUR"
"22.03.2024 03:00 - 22.03.2024 04:00","28.92","EUR"
"22.03.2024 04:00 - 22.03.2024 05:00","31.92","EUR"
"22.03.2024 05:00 - 22.03.2024 06:00","36.94","EUR"
"22.03.2024 06:00 - 22.03.2024 07:00","42.32","EUR"
"22.03.2024 07:00 - 22.03.2024 08:00","48.05","EUR"
"22.03.2024 08:00 - 22.03.2024 09:00","53.23","EUR"
"22.03.2024 09:00 - 22.03.2024 10:00","54.97","EUR"
"22.03.2024 10:00 - 22.03.2024 11:00","51.28","EUR"
"22.03.2024 11:00 - 22.03.2024 12:00","48.8","EUR"
"22.03.2024 12:00 - 22.03.2024 13:00","48.6","EUR"
"22.03.2024 13:00 - 22.03.2024 14:00","50.26","EUR"
"22.03.2024 14:00 - 22.03.2024 15:00","48.75","EUR"
"22.03.2024 15:00 - 22.03.2024 16:00","49.81","EUR"
"22.03.2024 16:00 - 22.03.2024 17:00","53.42","EUR"
"22.03.2024 17:00 - 22.03.2024 18:00","58.03","EUR"
"22.03.2024 18:00 - 22.03.2024 19:00","59.51","EUR"
"22.03.2024 19:00 - 22.03.2024 20:00","59.73","EUR"
"22.03.2024 20:00 - 22.03.2024 21:00","54.03","EUR"
"22.03.2024 21:00 - 22.03.2024 22:00","50.64","EUR"
"22.03.2024 22:00 - 22.03.2024 23:00","49.48","EUR"
"22.03.2024 23:00 - 23.03.2024 00:00","46.58","EUR"
"23.03.2024 00:00 - 23.03.2024 01:00","36.79","EUR"
"23.03.2024 01:00 - 23.03.2024 02:00","37.3","EUR"
"23.03.2024 02:00 - 23.03.2024 03:00","36.91","EUR"
"23.03.2024 03:00 - 23.03.2024 04:00","37.91","EUR"
"23.03.2024 04:00 - 23.03.2024 05:00","38.03","EUR"
"23.03.2024 05:00 - 23.03.2024 06:00","38.11","EUR"
"23.03.2024 06:00 - 23.03.2024 07:00","41.95","EUR"
"23.03.2024 07:00 - 23.03.2024 08:00","43.48","EUR"
"23.03.2024 08:00 - 23.03.2024 09:00","37.72","EUR"
"23.03.2024 09:00 - 23.03.2024 10:00","23.93","EUR"
"23.03.2024 10:00 - 23.03.2024 11:00","11.6","EUR"
"23.03.2024 11:00 - 23.03.2024 12:00","10.4","EUR"
"23.03.2024 12:00 - 23.03.2024 13:00","10.35","EUR"
"23.03.2024 13:00 - 23.03.2024 14:00","14.52","EUR"
"23.03.2024 14:00 - 23.03.2024 15:00","23.96","EUR"
"23.03.2024 15:00 - 23.03.2024 16:00","29.28","EUR"
"23.03.2024 16:00 - 23.03.2024 17:00","38.37","EUR"
"23.03.2024 17:00 - 23.03.2024 18:00","48.29","EUR"
"23.03.2024 18:00 - 23.03.2024 19:00","54.89","EUR"
"23.03.2024 19:00 - 23.03.2024 20:00","58.64","EUR"
"23.03.2024 20:00 - 23.03.2024 21:00","51.81","EUR"
"23.03.2024 21:00 - 23.03.2024 22:00","46.97","EUR"
"23.03.2024 22:00 - 23.03.2024 23:00","40.28","EUR"
"23.03.2024 23:00 - 24.03.2024 00:00","31.22","EUR"
"24.03.2024 00:00 - 24.03.2024 01:00","36.26","EUR"
"24.03.2024 01:00 - 24.03.2024 02:00","33.87","EUR"
"24.03.2024 02:00 - 24.03.2024 03:00","33.37","EUR"
"24.03.2024 03:00 - 24.03.2024 04:00","33.54","EUR"
"24.03.2024 04:00 - 24.03.2024 05:00","35.16","EUR"
"24.03.2024 05:00 - 24.03.2024 06:00","36.34","EUR"
"24.03.2024 06:00 - 24.03.2024 07:00","33.17","EUR"
"24.03.2024 07:00 - 24.03.2024 08:00","37.23","EUR"
"24.03.2024 08:00 - 24.03.2024 09:00","41.92","EUR"
"24.03.2024 09:00 - 24.03.2024 10:00","45.09","EUR"
"24.03.2024 10:00 - 24.03.2024 11:00","46.25","EUR"
"24.03.2024 11:00 - 24.03.2024 12:00","48.23","EUR"
"24.03.2024 12:00 - 24.03.2024 13:00","49.63","EUR"
"24.03.2024 13:00 - 24.03.2024 14:00","49.24","EUR"
"24.03.2024 14:00 - 24.03.2024 15:00","49.53","EUR"
"24.03.2024 15:00 - 24.03.2024 16:00","51.23","EUR"
"24.03.2024 16:00 - 24.03.2024 17:00","54.9","EUR"
"24.03.2024 17:00 - 24.03.2024 18:00","59.4","EUR"
"24.03.2024 18:00 - 24.03.2024 19:00","75.0","EUR"
"24.03.2024 19:00 - 24.03.2024 20:00","74.9","EUR"
"24.03.2024 20:00 - 24.03.2024 21:00","66.9","EUR"
"24.03.2024 21:00 - 24.03.2024 22:00","64.77","EUR"
"24.03.2024 22:00 - 24.03.2024 23:00","64.27","EUR"
"24.03.2024 23:00 - 25.03.2024 00:00","62.2","EUR"
"25.03.2024 00:00 - 25.03.2024 01:00","62.51","EUR"
"25.03.2024 01:00 - 25.03.2024 02:00","62.29","EUR"
"25.03.2024 02:00 - 25.03.2024 03:00","61.97","EUR"
"25.03.2024 03:00 - 25.03.2024 04:00","63.95","EUR"
"25.03.2024 04:00 - 25.03.2024 05:00","66.96","EUR"
"25.03.2024 05:00 - 25.03.2024 06:00","77.14","EUR"
"25.03.2024 06:00 - 25.03.2024 07:00","88.43","EUR"
"25.03.2024 07:00 - 25.03.2024 08:00","157.78","EUR"
"25.03.2024 08:00 - 25.03.2024 09:00","140.1","EUR"
"25.03.2024 09:00 - 25.03.2024 10:00","97.99","EUR"
"25.03.2024 10:00 - 25.03.2024 11:00","80.05","EUR"
"25.03.2024 11:00 - 25.03.2024 12:00","80.14","EUR"
"25.03.2024 12:00 - 25.03.2024 13:00","79.07","EUR"
"25.03.2024 13:00 - 25.03.2024 14:00","75.35","EUR"
"25.03.2024 14:00 - 25.03.2024 15:00","74.06","EUR"
"25.03.2024 15:00 - 25.03.2024 16:00","73.97","EUR"
"25.03.2024 16:00 - 25.03.2024 17:00","81.05","EUR"
"25.03.2024 17:00 - 25.03.2024 18:00","111.88","EUR"
"25.03.2024 18:00 - 25.03.2024 19:00","172.15","EUR"
"25.03.2024 19:00 - 25.03.2024 20:00","149.75","EUR"
"25.03.2024 20:00 - 25.03.2024 21:00","100.27","EUR"
"25.03.2024 21:00 - 25.03.2024 22:00","82.39","EUR"
"25.03.2024 22:00 - 25.03.2024 23:00","79.56","EUR"
"25.03.2024 23:00 - 26.03.2024 00:00","74.74","EUR"
"26.03.2024 00:00 - 26.03.2024 01:00","72.15","EUR"
"26.03.2024 01:00 - 26.03.2024 02:00","70.15","EUR"
"26.03.2024 02:00 - 26.03.2024 03:00","67.26","EUR"
"26.03.2024 03:00 - 26.03.2024 04:00","66.35","EUR"
"26.03.2024 04:00 - 26.03.2024 05:00","79.79","EUR"
"26.03.2024 05:00 - 26.03.2024 06:00","98.01","EUR"
"26.03.2024 06:00 - 26.03.2024 07:00","92.35","EUR"
"26.03.2024 07:00 - 26.03.2024 08:00","139.28","EUR"
"26.03.2024 08:00 - 26.03.2024 09:00","141.24","EUR"
"26.03.2024 09:00 - 26.03.2024 10:00","98.05","EUR"
"26.03.2024 10:00 - 26.03.2024 11:00","87.07","EUR"
"26.03.2024 11:00 - 26.03.2024 12:00","87.05","EUR"
"26.03.2024 12:00 - 26.03.2024 13:00","79.9","EUR"
"26.03.2024 13:00 - 26.03.2024 14:00","79.8","EUR"
"26.03.2024 14:00 - 26.03.2024 15:00","87.02","EUR"
"26.03.2024 15:00 - 26.03.2024 16:00","98.01","EUR"
"26.03.2024 16:00 - 26.03.2024 17:00","105.95","EUR"
"26.03.2024 17:00 - 26.03.2024 18:00","135.19","EUR"
"26.03.2024 18:00 - 26.03.2024 19:00","135.45","EUR"
"26.03.2024 19:00 - 26.03.2024 20:00","74.02","EUR"
"26.03.2024 20:00 - 26.03.2024 21:00","58.36","EUR"
"26.03.2024 21:00 - 26.03.2024 22:00","58.01","EUR"
"26.03.2024 22:00 - 26.03.2024 23:00","56.65","EUR"
"26.03.2024 23:00 - 27.03.2024 00:00","55.17","EUR"
"27.03.2024 00:00 - 27.03.2024 01:00","50.55","EUR"
"27.03.2024 01:00 - 27.03.2024 02:00","48.42","EUR"
"27.03.2024 02:00 - 27.03.2024 03:00","46.48","EUR"
"27.03.2024 03:00 - 27.03.2024 04:00","46.46","EUR"
"27.03.2024 04:00 - 27.03.2024 05:00","46.97","EUR"
"27.03.2024 05:00 - 27.03.2024 06:00","47.69","EUR"
"27.03.2024 06:00 - 27.03.2024 07:00","48.99","EUR"
"27.03.2024 07:00 - 27.03.2024 08:00","53.57","EUR"
"27.03.2024 08:00 - 27.03.2024 09:00","59.72","EUR"
"27.03.2024 09:00 - 27.03.2024 10:00","54.71","EUR"
"27.03.2024 10:00 - 27.03.2024 11:00","49.55","EUR"
"27.03.2024 11:00 - 27.03.2024 12:00","45.2","EUR"
"27.03.2024 12:00 - 27.03.2024 13:00","44.99","EUR"
"27.03.2024 13:00 - 27.03.2024 14:00","46.15","EUR"
"27.03.2024 14:00 - 27.03.2024 15:00","47.75","EUR"
"27.03.2024 15:00 - 27.03.2024 16:00","47.89","EUR"
"27.03.2024 16:00 - 27.03.2024 17:00","47.49","EUR"
"27.03.2024 17:00 - 27.03.2024 18:00","48.51","EUR"
"27.03.2024 18:00 - 27.03.2024 19:00","47.96","EUR"
"27.03.2024 19:00 - 27.03.2024 20:00","46.9","EUR"
"27.03.2024 20:00 - 27.03.2024 21:00","44.79","EUR"
"27.03.2024 21:00 - 27.03.2024 22:00","43.62","EUR"
"27.03.2024 22:00 - 27.03.2024 23:00","43.0","EUR"
"27.03.2024 23:00 - 28.03.2024 00:00","42.06","EUR"
"28.03.2024 00:00 - 28.03.2024 01:00","35.64","EUR"
"28.03.2024 01:00 - 28.03.2024 02:00","37.63","EUR"
"28.03.2024 02:00 - 28.03.2024 03:00","35.56","EUR"
"28.03.2024 03:00 - 28.03.2024 04:00","35.14","EUR"
"28.03.2024 04:00 - 28.03.2024 05:00","38.18","EUR"
"28.03.2024 05:00 - 28.03.2024 06:00","40.69","EUR"
"28.03.2024 06:00 - 28.03.2024 07:00","43.62","EUR"
"28.03.2024 07:00 - 28.03.2024 08:00","47.96","EUR"
"28.03.2024 08:00 - 28.03.2024 09:00","53.47","EUR"
"28.03.2024 09:00 - 28.03.2024 10:00","55.53","EUR"
"28.03.2024 10:00 - 28.03.2024 11:00","46.16","EUR"
"28.03.2024 11:00 - 28.03.2024 12:00","37.91","EUR"
"28.03.2024 12:00 - 28.03.2024 13:00","32.91","EUR"
"28.03.2024 13:00 - 28.03.2024 14:00","30.29","EUR"
"28.03.2024 14:00 - 28.03.2024 15:00","29.47","EUR"
"28.03.2024 15:00 - 28.03.2024 16:00","24.67","EUR"
"28.03.2024 16:00 - 28.03.2024 17:00","34.99","EUR"
"28.03.2024 17:00 - 28.03.2024 18:00","44.33","EUR"
"28.03.2024 18:00 - 28.03.2024 19:00","43.69","EUR"
"28.03.2024 19:00 - 28.03.2024 20:00","42.52","EUR"
"28.03.2024 20:00 - 28.03.2024 21:00","38.92","EUR"
"28.03.2024 21:00 - 28.03.2024 22:00","36.1","EUR"
"28.03.2024 22:00 - 28.03.2024 23:00","31.12","EUR"
"28.03.2024 23:00 - 29.03.2024 00:00","24.08","EUR"
"29.03.2024 00:00 - 29.03.2024 01:00","20.6","EUR"
"29.03.2024 01:00 - 29.03.2024 02:00","18.38","EUR"
"29.03.2024 02:00 - 29.03.2024 03:00","12.13","EUR"
"29.03.2024 03:00 - 29.03.2024 04:00","9.99","EUR"
"29.03.2024 04:00 - 29.03.2024 05:00","12.01","EUR"
"29.03.2024 05:00 - 29.03.2024 06:00","12.77","EUR"
"29.03.2024 06:00 - 29.03.2024 07:00","21.49","EUR"
"29.03.2024 07:00 - 29.03.2024 08:00","22.39","EUR"
"29.03.2024 08:00 - 29.03.2024 09:00","15.94","EUR"
"29.03.2024 09:00 - 29.03.2024 10:00","13.28","EUR"
"29.03.2024 10:00 - 29.03.2024 11:00","16.88","EUR"
"29.03.2024 11:00 - 29.03.2024 12:00","18.83","EUR"
"29.03.2024 12:00 - 29.03.2024 13:00","13.0","EUR"
"29.03.2024 13:00 - 29.03.2024 14:00","9.86","EUR"
"29.03.2024 14:00 - 29.03.2024 15:00","13.44","EUR"
"29.03.2024 15:00 - 29.03.2024 16:00","26.19","EUR"
"29.03.2024 16:00 - 29.03.2024 17:00","39.7","EUR"
"29.03.2024 17:00 - 29.03.2024 18:00","42.32","EUR"
"29.03.2024 18:00 - 29.03.2024 19:00","41.95","EUR"
"29.03.2024 19:00 - 29.03.2024 20:00","41.88","EUR"
"29.03.2024 20:00 - 29.03.2024 21:00","41.98","EUR"
"29.03.2024 21:00 - 29.03.2024 22:00","39.91","EUR"
"29.03.2024 22:00 - 29.03.2024 23:00","37.02","EUR"
"29.03.2024 23:00 - 30.03.2024 00:00","35.48","EUR"
"30.03.2024 00:00 - 30.03.2024 01:00","38.45","EUR"
"30.03.2024 01:00 - 30.03.2024 02:00","38.82","EUR"
"30.03.2024 02:00 - 30.03.2024 03:00","38.81","EUR"
"30.03.2024 03:00 - 30.03.2024 04:00","39.6","EUR"
"30.03.2024 04:00 - 30.03.2024 05:00","41.73","EUR"
"30.03.2024 05:00 - 30.03.2024 06:00","43.52","EUR"
"30.03.2024 06:00 - 30.03.2024 07:00","44.29","EUR"
"30.03.2024 07:00 - 30.03.2024 08:00","45.67","EUR"
"30.03.2024 08:00 - 30.03.2024 09:00","44.1","EUR"
"30.03.2024 09:00 - 30.03.2024 10:00","41.83","EUR"
"30.03.2024 10:00 - 30.03.2024 11:00","36.04","EUR"
"30.03.2024 11:00 - 30.03.2024 12:00","25.08","EUR"
"30.03.2024 12:00 - 30.03.2024 13:00","25.74","EUR"
"30.03.2024 13:00 - 30.03.2024 14:00","12.75","EUR"
"30.03.2024 14:00 - 30.03.2024 15:00","16.26","EUR"
"30.03.2024 15:00 - 30.03.2024 16:00","35.04","EUR"
"30.03.2024 16:00 - 30.03.2024 17:00","51.29","EUR"
"30.03.2024 17:00 - 30.03.2024 18:00","56.66","EUR"
"30.03.2024 18:00 - 30.03.2024 19:00","57.49","EUR"
"30.03.2024 19:00 - 30.03.2024 20:00","54.73","EUR"
"30.03.2024 20:00 - 30.03.2024 21:00","51.81","EUR"
"30.03.2024 21:00 - 30.03.2024 22:00","49.4","EUR"
"30.03.2024 22:00 - 30.03.2024 23:00","45.74","EUR"
"30.03.2024 23:00 - 31.03.2024 00:00","42.09","EUR"
"31.03.2024 00:00 - 31.03.2024 01:00","42.09","EUR"
"31.03.2024 01:00 - 31.03.2024 02:00","42.02","EUR"
"31.03.2024 02:00 - 31.03.2024 03:00","42.1","EUR"
"31.03.2024 03:00 - 31.03.2024 04:00","43.82","EUR"
"31.03.2024 04:00 - 31.03.2024 05:00","46.19","EUR"
"31.03.2024 05:00 - 31.03.2024 06:00","44.57","EUR"
"31.03.2024 06:00 - 31.03.2024 07:00","48.92","EUR"
"31.03.2024 07:00 - 31.03.2024 08:00","50.04","EUR"
"31.03.2024 08:00 - 31.03.2024 09:00","49.31","EUR"
"31.03.2024 09:00 - 31.03.2024 10:00","42.04","EUR"
"31.03.2024 10:00 - 31.03.2024 11:00","35.37","EUR"
"31.03.2024 11:00 - 31.03.2024 12:00","35.46","EUR"
"31.03.2024 12:00 - 31.03.2024 13:00","33.1","EUR"
"31.03.2024 13:00 - 31.03.2024 14:00","30.68","EUR"
"31.03.2024 14:00 - 31.03.2024 15:00","32.6","EUR"
"31.03.2024 15:00 - 31.03.2024 16:00","41.07","EUR"
"31.03.2024 16:00 - 31.03.2024 17:00","52.66","EUR"
"31.03.2024 17:00 - 31.03.2024 18:00","57.62","EUR"
"31.03.2024 18:00 - 31.03.2024 19:00","58.05","EUR"
"31.03.2024 19:00 - 31.03.2024 20:00","50.83","EUR"
"31.03.2024 20:00 - 31.03.2024 21:00","50.09","EUR"
"31.03.2024 21:00 - 31.03.2024 22:00","46.28","EUR"
"31.03.2024 22:00 - 31.03.2024 23:00","43.98","EUR"
"31.03.2024 23:00 - 01.04.2024 00:00","40.41","EUR"
"01.04.2024 00:00 - 01.04.2024 01:00","40.39","EUR"
"01.04.2024 01:00 - 01.04.2024 02:00","40.01","EUR"
"01.04.2024 02:00 - 01.04.2024 03:00","37.49","EUR"
"01.04.2024 03:00 - 01.04.2024 04:00","36.49","EUR"
"01.04.2024 04:00 - 01.04.2024 05:00","36.49","EUR"
"01.04.2024 05:00 - 01.04.2024 06:00","36.88","EUR"
"01.04.2024 06:00 - 01.04.2024 07:00","40.25","EUR"
"01.04.2024 07:00 - 01.04.2024 08:00","42.37","EUR"
"01.04.2024 08:00 - 01.04.2024 09:00","40.87","EUR"
"01.04.2024 09:00 - 01.04.2024 10:00","37.49","EUR"
"01.04.2024 10:00 - 01.04.2024 11:00","30.39","EUR"
"01.04.2024 11:00 - 01.04.2024 12:00","18.04","EUR"
"01.04.2024 12:00 - 01.04.2024 13:00","20.05","EUR"
"01.04.2024 13:00 - 01.04.2024 14:00","10.03","EUR"
"01.04.2024 14:00 - 01.04.2024 15:00","4.47","EUR"
"01.04.2024 15:00 - 01.04.2024 16:00","4.12","EUR"
"01.04.2024 16:00 - 01.04.2024 17:00","13.15","EUR"
"01.04.2024 17:00 - 01.04.2024 18:00","33.91","EUR"
"01.04.2024 18:00 - 01.04.2024 19:00","36.54","EUR"
"01.04.2024 19:00 - 01.04.2024 20:00","32.14","EUR"
"01.04.2024 20:00 - 01.04.2024 21:00","28.09","EUR"
"01.04.2024 21:00 - 01.04.2024 22:00","4.16","EUR"
"01.04.2024 22:00 - 01.04.2024 23:00","0.33","EUR"
"01.04.2024 23:00 - 02.04.2024 00:00","5.54","EUR"
"02.04.2024 00:00 - 02.04.2024 01:00","1.28","EUR"
"02.04.2024 01:00 - 02.04.2024 02:00","0.6","EUR"
"02.04.2024 02:00 - 02.04.2024 03:00","0.84","EUR"
"02.04.2024 03:00 - 02.04.2024 04:00","1.51","EUR"
"02.04.2024 04:00 - 02.04.2024 05:00","7.01","EUR"
"02.04.2024 05:00 - 02.04.2024 06:00","39.89","EUR"
"02.04.2024 06:00 - 02.04.2024 07:00","50.89","EUR"
"02.04.2024 07:00 - 02.04.2024 08:00","56.05","EUR"
"02.04.2024 08:00 - 02.04.2024 09:00","46.82","EUR"
"02.04.2024 09:00 - 02.04.2024 10:00","38.29","EUR"
"02.04.2024 10:00 - 02.04.2024 11:00","39.3","EUR"
"02.04.2024 11:00 - 02.04.2024 12:00","39.28","EUR"
"02.04.2024 12:00 - 02.04.2024 13:00","38.37","EUR"
"02.04.2024 13:00 - 02.04.2024 14:00","33.38","EUR"
"02.04.2024 14:00 - 02.04.2024 15:00","25.1","EUR"
"02.04.2024 15:00 - 02.04.2024 16:00","8.83","EUR"
"02.04.2024 16:00 - 02.04.2024 17:00","41.2","EUR"
"02.04.2024 17:00 - 02.04.2024 18:00","48.08","EUR"
"02.04.2024 18:00 - 02.04.2024 19:00","45.65","EUR"
"02.04.2024 19:00 - 02.04.2024 20:00","42.9","EUR"
"02.04.2024 20:00 - 02.04.2024 21:00","39.16","EUR"
"02.04.2024 21:00 - 02.04.2024 22:00","25.7","EUR"
"02.04.2024 22:00 - 02.04.2024 23:00","1.66","EUR"
"02.04.2024 23:00 - 03.04.2024 00:00","25.28","EUR"
"03.04.2024 00:00 - 03.04.2024 01:00","20.63","EUR"
"03.04.2024 01:00 - 03.04.2024 02:00","16.95","EUR"
"03.04.2024 02:00 - 03.04.2024 03:00","12.99","EUR"
"03.04.2024 03:00 - 03.04.2024 04:00","26.84","EUR"
"03.04.2024 04:00 - 03.04.2024 05:00","34.98","EUR"
"03.04.2024 05:00 - 03.04.2024 06:00","39.95","EUR"
"03.04.2024 06:00 - 03.04.2024 07:00","46.09","EUR"
"03.04.2024 07:00 - 03.04.2024 08:00","49.82","EUR"
"03.04.2024 08:00 - 03.04.2024 09:00","52.06","EUR"
"03.04.2024 09:00 - 03.04.2024 10:00","50.6","EUR"
"03.04.2024 10:00 - 03.04.2024 11:00","48.6","EUR"
"03.04.2024 11:00 - 03.04.2024 12:00","49.75","EUR"
"03.04.2024 12:00 - 03.04.2024 13:00","48.87","EUR"
"03.04.2024 13:00 - 03.04.2024 14:00","48.41","EUR"
"03.04.2024 14:00 - 03.04.2024 15:00","49.62","EUR"
"03.04.2024 15:00 - 03.04.2024 16:00","53.95","EUR"
"03.04.2024 16:00 - 03.04.2024 17:00","56.97","EUR"
"03.04.2024 17:00 - 03.04.2024 18:00","59.32","EUR"
"03.04.2024 18:00 - 03.04.2024 19:00","57.39","EUR"
"03.04.2024 19:00 - 03.04.2024 20:00","54.28","EUR"
"03.04.2024 20:00 - 03.04.2024 21:00","58.46","EUR"
"03.04.2024 21:00 - 03.04.2024 22:00","57.67","EUR"
"03.04.2024 22:00 - 03.04.2024 23:00","55.33","EUR"
"03.04.2024 23:00 - 04.04.2024 00:00","54.52","EUR"
"04.04.2024 00:00 - 04.04.2024 01:00","52.01","EUR"
"04.04.2024 01:00 - 04.04.2024 02:00","50.17","EUR"
"04.04.2024 02:00 - 04.04.2024 03:00","51.57","EUR"
"04.04.2024 03:00 - 04.04.2024 04:00","51.94","EUR"
"04.04.2024 04:00 - 04.04.2024 05:00","54.08","EUR"
"04.04.2024 05:00 - 04.04.2024 06:00","76.93","EUR"
"04.04.2024 06:00 - 04.04.2024 07:00","249.9","EUR"
"04.04.2024 07:00 - 04.04.2024 08:00","249.96","EUR"
"04.04.2024 08:00 - 04.04.2024 09:00","79.99","EUR"
"04.04.2024 09:00 - 04.04.2024 10:00","75.0","EUR"
"04.04.2024 10:00 - 04.04.2024 11:00","63.06","EUR"
"04.04.2024 11:00 - 04.04.2024 12:00","59.49","EUR"
"04.04.2024 12:00 - 04.04.2024 13:00","58.53","EUR"
"04.04.2024 13:00 - 04.04.2024 14:00","60.06","EUR"
"04.04.2024 14:00 - 04.04.2024 15:00","74.99","EUR"
"04.04.2024 15:00 - 04.04.2024 16:00","65.66","EUR"
"04.04.2024 16:00 - 04.04.2024 17:00","70.08","EUR"
"04.04.2024 17:00 - 04.04.2024 18:00","97.51","EUR"
"04.04.2024 18:00 - 04.04.2024 19:00","87.85","EUR"
"04.04.2024 19:00 - 04.04.2024 20:00","67.78","EUR"
"04.04.2024 20:00 - 04.04.2024 21:00","59.94","EUR"
"04.04.2024 21:00 - 04.04.2024 22:00","57.21","EUR"
"04.04.2024 22:00 - 04.04.2024 23:00","56.0","EUR"
"04.04.2024 23:00 - 05.04.2024 00:00","46.78","EUR"
"05.04.2024 00:00 - 05.04.2024 01:00","48.27","EUR"
"05.04.2024 01:00 - 05.04.2024 02:00","47.52","EUR"
"05.04.2024 02:00 - 05.04.2024 03:00","46.53","EUR"
"05.04.2024 03:00 - 05.04.2024 04:00","47.34","EUR"
"05.04.2024 04:00 - 05.04.2024 05:00","47.29","EUR"
"05.04.2024 05:00 - 05.04.2024 06:00","50.99","EUR"
"05.04.2024 06:00 - 05.04.2024 07:00","56.92","EUR"
"05.04.2024 07:00 - 05.04.2024 08:00","61.27","EUR"
"05.04.2024 08:00 - 05.04.2024 09:00","59.96","EUR"
"05.04.2024 09:00 - 05.04.2024 10:00","50.5","EUR"
"05.04.2024 10:00 - 05.04.2024 11:00","45.54","EUR"
"05.04.2024 11:00 - 05.04.2024 12:00","44.43","EUR"
"05.04.2024 12:00 - 05.04.2024 13:00","40.03","EUR"
"05.04.2024 13:00 - 05.04.2024 14:00","37.07","EUR"
"05.04.2024 14:00 - 05.04.2024 15:00","31.04","EUR"
"05.04.2024 15:00 - 05.04.2024 16:00","27.61","EUR"
"05.04.2024 16:00 - 05.04.2024 17:00","39.99","EUR"
"05.04.2024 17:00 - 05.04.2024 18:00","49.65","EUR"
"05.04.2024 18:00 - 05.04.2024 19:00","53.4","EUR"
"05.04.2024 19:00 - 05.04.2024 20:00","53.92","EUR"
"05.04.2024 20:00 - 05.04.2024 21:00","53.4","EUR"
"05.04.2024 21:00 - 05.04.2024 22:00","52.73","EUR"
"05.04.2024 22:00 - 05.04.2024 23:00","49.62","EUR"
"05.04.2024 23:00 - 06.04.2024 00:00","42.05","EUR"
