"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency"
"06.01.2024 12:00 - 06.01.2024 13:00","178.09","EUR"
"06.01.2024 13:00 - 06.01.2024 14:00","161.34","EUR"
"06.01.2024 14:00 - 06.01.2024 15:00","184.0","EUR"
"06.01.2024 15:00 - 06.01.2024 16:00","200.0","EUR"
"06.01.2024 16:00 - 06.01.2024 17:00","299.99","EUR"
"06.01.2024 17:00 - 06.01.2024 18:00","244.45","EUR"
"06.01.2024 18:00 - 06.01.2024 19:00","200.0","EUR"
"06.01.2024 19:00 - 06.01.2024 20:00","179.78","EUR"
"06.01.2024 20:00 - 06.01.2024 21:00","164.51","EUR"
"06.01.2024 21:00 - 06.01.2024 22:00","176.17","EUR"
"06.01.2024 22:00 - 06.01.2024 23:00","159.15","EUR"
"06.01.2024 23:00 - 07.01.2024 00:00","120.76","EUR"
"07.01.2024 00:00 - 07.01.2024 01:00","93.71","EUR"
"07.01.2024 01:00 - 07.01.2024 02:00","128.69","EUR"
"07.01.2024 02:00 - 07.01.2024 03:00","104.0","EUR"
"07.01.2024 03:00 - 07.01.2024 04:00","93.2","EUR"
"07.01.2024 04:00 - 07.01.2024 05:00","93.19","EUR"
"07.01.2024 05:00 - 07.01.2024 06:00","93.19","EUR"
"07.01.2024 06:00 - 07.01.2024 07:00","84.99","EUR"
"07.01.2024 07:00 - 07.01.2024 08:00","96.89","EUR"
"07.01.2024 08:00 - 07.01.2024 09:00","93.2","EUR"
"07.01.2024 09:00 - 07.01.2024 10:00","118.35","EUR"
"07.01.2024 10:00 - 07.01.2024 11:00","97.53","EUR"
"07.01.2024 11:00 - 07.01.2024 12:00","93.19","EUR"
"07.01.2024 12:00 - 07.01.2024 13:00","91.5","EUR"
"07.01.2024 13:00 - 07.01.2024 14:00","87.52","EUR"
"07.01.2024 14:00 - 07.01.2024 15:00","87.23","EUR"
"07.01.2024 15:00 - 07.01.2024 16:00","90.64","EUR"
"07.01.2024 16:00 - 07.01.2024 17:00","96.21","EUR"
"07.01.2024 17:00 - 07.01.2024 18:00","104.27","EUR"
"07.01.2024 18:00 - 07.01.2024 19:00","106.09","EUR"
"07.01.2024 19:00 - 07.01.2024 20:00","103.55","EUR"
"07.01.2024 20:00 - 07.01.2024 21:00","87.86","EUR"
"07.01.2024 21:00 - 07.01.2024 22:00","93.31","EUR"
"07.01.2024 22:00 - 07.01.2024 23:00","86.42","EUR"
"07.01.2024 23:00 - 08.01.2024 00:00","62.66","EUR"
"08.01.2024 00:00 - 08.01.2024 01:00","79.94","EUR"
"08.01.2024 01:00 - 08.01.2024 02:00","81.39","EUR"
"08.01.2024 02:00 - 08.01.2024 03:00","81.82","EUR"
"08.01.2024 03:00 - 08.01.2024 04:00","79.11","EUR"
"08.01.2024 04:00 - 08.01.2024 05:00","78.48","EUR"
"08.01.2024 05:00 - 08.01.2024 06:00","82.1","EUR"
"08.01.2024 06:00 - 08.01.2024 07:00","94.3","EUR"
"08.01.2024 07:00 - 08.01.2024 08:00","111.22","EUR"
"08.01.2024 08:00 - 08.01.2024 09:00","121.11","EUR"
"08.01.2024 09:00 - 08.01.2024 10:00","120.73","EUR"
"08.01.2024 10:00 - 08.01.2024 11:00","113.9","EUR"
"08.01.2024 11:00 - 08.01.2024 12:00","139.05","EUR"
"08.01.2024 12:00 - 08.01.2024 13:00","161.05","EUR"
"08.01.2024 13:00 - 08.01.2024 14:00","137.91","EUR"
"08.01.2024 14:00 - 08.01.2024 15:00","167.2","EUR"
"08.01.2024 15:00 - 08.01.2024 16:00","162.52","EUR"
"08.01.2024 16:00 - 08.01.2024 17:00","129.93","EUR"
"08.01.2024 17:00 - 08.01.2024 18:00","132.31","EUR"
"08.01.2024 18:00 - 08.01.2024 19:00","130.01","EUR"
"08.01.2024 19:00 - 08.01.2024 20:00","122.12","EUR"
"08.01.2024 20:00 - 08.01.2024 21:00","114.21","EUR"
"08.01.2024 21:00 - 08.01.2024 22:00","99.85","EUR"
"08.01.2024 22:00 - 08.01.2024 23:00","81.5","EUR"
"08.01.2024 23:00 - 09.01.2024 00:00","49.99","EUR"
"09.01.2024 00:00 - 09.01.2024 01:00","27.71","EUR"
"09.01.2024 01:00 - 09.01.2024 02:00","26.73","EUR"
"09.01.2024 02:00 - 09.01.2024 03:00","26.33","EUR"
"09.01.2024 03:00 - 09.01.2024 04:00","26.27","EUR"
"09.01.2024 04:00 - 09.01.2024 05:00","26.88","EUR"
"09.01.2024 05:00 - 09.01.2024 06:00","38.0","EUR"
"09.01.2024 06:00 - 09.01.2024 07:00","69.58","EUR"
"09.01.2024 07:00 - 09.01.2024 08:00","80.72","EUR"
"09.01.2024 08:00 - 09.01.2024 09:00","75.43","EUR"
"09.01.2024 09:00 - 09.01.2024 10:00","74.5","EUR"
"09.01.2024 10:00 - 09.01.2024 11:00","81.26","EUR"
"09.01.2024 11:00 - 09.01.2024 12:00","74.73","EUR"
"09.01.2024 12:00 - 09.01.2024 13:00","71.4","EUR"
"09.01.2024 13:00 - 09.01.2024 14:00","79.16","EUR"
"09.01.2024 14:00 - 09.01.2024 15:00","84.88","EUR"
"09.01.2024 15:00 - 09.01.2024 16:00","90.11","EUR"
"09.01.2024 16:00 - 09.01.2024 17:00","78.03","EUR"
"09.01.2024 17:00 - 09.01.2024 18:00","94.99","EUR"
"09.01.2024 18:00 - 09.01.2024 19:00","133.53","EUR"
"09.01.2024 19:00 - 09.01.2024 20:00","126.38","EUR"
"09.01.2024 20:00 - 09.01.2024 21:00","116.51","EUR"
"09.01.2024 21:00 - 09.01.2024 22:00","99.96","EUR"
"09.01.2024 22:00 - 09.01.2024 23:00","89.98","EUR"
